ID; Nome; Apelido; RB; FC; GC; CA; CV; SG; DD; DP; GS; FS; PE; A; FT; FD; FF; G; I; PP
99789;Brenner Souza da Silva;Brenner;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0
99424;Éder Gabriel Militão;Éder Militão;5.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;2.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
101421;Igor Henrique Pereira de Campos;Igor Campos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100084;Igor Silveira Gomes;Igor Gomes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
97520;Shaylon Kallyson Cardoso;Shaylon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100761;Igor Matheus Liziero Pereira ;Liziero;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
95660;Felipe Araruna Hoffman;Araruna;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
95831;Caique da Silva Maria;Caíque;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
83004;Rómulo Otero Vásquez;Otero;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;2.0;3.0;4.0;1.0;2.0;0.0
38909;Diego Ribas da Cunha;Diego;1.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;8.0;5.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
100762;Guilherme Bissoli Campos ;Bissoli;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
100333;Paulo Henrique Pereira da Silva;Paulinho;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
80129;Jadson Alves dos Santos;Jadson;9.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;10.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
101422;Bruno da Silva Santos;Bruno Silva;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
61033;Rodrigo Eduardo Costa Marinho;Rodriguinho;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;8.0;1.0;0.0;0.0;1.0;3.0;0.0;0.0
89273;João Pedro Maturano dos Santos;João Pedro ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38350;Fernando Leal Fonseca;Fernando Leal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84555;Glauco Tadeu Chaves;Glauco;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38506;Willian Lanes de Lima;Lima;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
101797;Natanael de Sousa Santos Júnior;Júnior Santos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37655;Rafael Martiniano de Miranda Moura;Rafael Moura;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;1.0;0.0;1.0;2.0;0.0;1.0;0.0
74271;Edigar Junio Teixeira Lima ;Edigar Junio;2.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
99921;Khevin Rodrigo Fraga;Khevin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
85626;Leonardo Pinheiro da Conceição;Léo;4.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
38315;Jadson Rodrigues da Silva;Jadson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
